threshold,TP,FP,TN,FN,precision,recall,f1,accuracy
0.2,127,86,257,76,0.5962,0.6256,0.6106,0.7033
0.22,114,54,289,89,0.6786,0.5616,0.6146,0.7381
0.24,105,31,312,98,0.7721,0.5172,0.6195,0.7637
0.26,87,21,322,116,0.8056,0.4286,0.5595,0.7491
0.28,75,18,325,128,0.8065,0.3695,0.5068,0.7326
0.3,65,15,328,138,0.8125,0.3202,0.4594,0.7198
0.32,58,14,329,145,0.8056,0.2857,0.4218,0.7088
0.34,51,8,335,152,0.8644,0.2512,0.3893,0.707
0.36,47,7,336,156,0.8704,0.2315,0.3658,0.7015
0.38,43,4,339,160,0.9149,0.2118,0.344,0.6996
0.4,32,3,340,171,0.9143,0.1576,0.2689,0.6813
0.42,31,3,340,172,0.9118,0.1527,0.2616,0.6795
0.44,27,3,340,176,0.9,0.133,0.2318,0.6722
0.46,20,3,340,183,0.8696,0.0985,0.177,0.6593
0.48,17,3,340,186,0.85,0.0837,0.1525,0.6538
0.5,16,2,341,187,0.8889,0.0788,0.1448,0.6538
0.52,14,2,341,189,0.875,0.069,0.1279,0.6502
0.54,8,2,341,195,0.8,0.0394,0.0751,0.6392
0.56,5,2,341,198,0.7143,0.0246,0.0476,0.6337
0.58,1,2,341,202,0.3333,0.0049,0.0097,0.6264
0.6,1,1,342,202,0.5,0.0049,0.0098,0.6282
0.62,1,1,342,202,0.5,0.0049,0.0098,0.6282
0.64,1,0,343,202,1.0,0.0049,0.0098,0.63
0.66,1,0,343,202,1.0,0.0049,0.0098,0.63
0.68,0,0,343,203,0.0,0.0,0.0,0.6282
0.7,0,0,343,203,0.0,0.0,0.0,0.6282
